sampleId,state,district,taluk,village,latitude,longitude,crop,testDate,ph,ec,organicCarbon,nitrogen,phosphorus,potassium,sulfur,zinc,boron,iron,copper,manganese
S017,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Tomato,2025-05-16,6.27,2.01,0.93,689,36,159,11,0.73,1.75,7.79,0.48,4.74
S018,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Tomato,2025-01-26,6.86,2.42,0.36,640,10,175,7,1.27,1.28,4.35,0.18,5.45
S019,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Rice,2025-10-24,7.17,1.29,0.78,655,25,213,11,1.41,0.7,4.66,0.19,4.23
S020,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Wheat,2025-06-11,5.53,1.82,0.76,222,9,355,11,1.11,0.41,5.49,0.15,2.22
S021,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Tomato,2025-03-22,7.75,2.03,0.81,661,5,363,14,1.88,0.37,10.78,0.29,5.45
S022,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Cotton,2025-03-21,6.26,0.75,0.54,390,37,330,13,1.83,1.55,2.92,0.4,2.38
S023,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Maize,2025-06-20,7.22,0.88,0.94,684,32,367,5,0.4,1.71,8.91,0.2,1.18
S024,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Maize,2025-10-26,6.66,0.31,0.56,160,27,187,26,0.65,0.36,9.8,0.72,3.03
S025,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Sugarcane,2025-03-21,7.83,2.74,1.01,542,6,171,28,1.86,1.45,6.12,0.57,4.68
S026,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Maize,2025-05-17,7.63,0.48,1.07,601,19,182,31,1.85,0.76,10.21,0.71,2.11
S027,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Ragi,2025-07-24,6.25,0.38,0.97,479,37,284,26,1.97,1.06,11.39,0.18,5.85
S028,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Cotton,2025-10-25,5.6,1.75,0.55,441,32,390,21,0.41,1.64,3.9,0.13,3.18
S029,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Sugarcane,2025-10-03,6.48,0.38,0.86,458,44,240,26,1.73,1.35,5.0,0.32,3.04
S030,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Cotton,2025-12-23,7.0,0.7,0.86,508,16,395,23,0.74,1.08,2.0,0.3,3.15
S031,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Ragi,2025-11-07,6.76,1.35,0.41,604,15,417,7,0.71,1.26,8.19,0.17,5.76
S032,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Cotton,2025-12-11,6.11,0.72,0.22,370,35,392,32,1.58,0.93,10.86,0.5,4.59
S033,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Groundnut,2025-09-11,6.16,1.91,0.21,229,32,192,10,1.65,1.31,6.65,0.49,5.59
S034,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Maize,2025-08-22,7.66,1.94,1.19,444,33,393,31,1.49,1.01,10.31,0.48,5.49
S035,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Cotton,2025-08-19,7.53,2.38,0.48,653,36,400,12,0.69,0.32,4.86,0.29,2.6
S036,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Maize,2025-02-11,5.91,1.2,0.35,339,9,292,18,0.8,0.95,2.62,0.68,2.95
S037,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Rice,2025-12-23,7.81,2.19,0.58,126,27,232,29,0.9,1.63,10.36,0.48,4.67
S038,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Tomato,2025-04-23,6.09,1.33,0.23,464,30,164,31,1.04,0.4,8.22,0.12,2.97
S039,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Rice,2025-12-06,5.73,1.31,1.07,306,8,213,17,0.79,0.93,5.38,0.72,2.39
S040,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Wheat,2025-05-10,6.77,2.15,0.25,478,19,412,7,1.61,1.24,9.54,0.76,2.0
S041,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Maize,2025-11-15,6.14,1.43,0.31,343,34,211,29,0.86,1.17,11.64,0.6,4.89
S042,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Wheat,2025-06-09,7.06,2.62,0.78,504,30,181,7,1.27,1.53,4.43,0.59,2.51
S043,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Rice,2025-03-03,6.44,1.31,0.57,638,26,86,32,0.96,0.98,6.34,0.35,5.46
S044,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Maize,2025-12-29,6.68,2.11,1.17,396,44,355,29,1.07,0.9,9.31,0.29,5.26
S045,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Tomato,2025-05-23,6.16,1.41,0.81,508,26,94,20,1.73,0.49,4.12,0.66,2.7
S046,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Cotton,2025-12-26,7.0,1.54,0.39,367,31,330,22,1.56,1.3,8.46,0.44,4.96
S047,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Sugarcane,2025-05-31,6.59,0.83,0.86,497,35,363,21,0.82,1.79,7.5,0.35,3.27
S048,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Sugarcane,2025-05-09,5.83,0.7,0.32,668,16,178,11,1.53,0.64,7.9,0.63,3.98
S049,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Cotton,2025-04-10,6.11,0.67,0.21,666,13,220,6,1.95,1.09,8.97,0.19,5.34
S050,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Rice,2025-02-22,7.05,1.42,0.64,308,8,209,35,1.75,0.38,2.65,0.44,3.89
S051,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Maize,2025-03-19,7.69,2.67,0.29,374,12,365,29,0.95,1.15,8.18,0.64,2.9
S052,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Groundnut,2025-06-02,6.32,1.81,0.81,221,18,400,11,0.68,0.33,4.4,0.49,1.78
S053,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Tomato,2025-08-19,6.29,0.8,0.91,584,9,199,34,0.68,1.47,7.9,0.66,1.99
S054,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Sugarcane,2025-10-06,7.25,2.56,1.03,193,8,164,30,0.75,1.4,7.69,0.3,1.62
S055,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Groundnut,2025-12-25,8.05,1.5,0.69,202,43,100,33,0.98,0.72,4.5,0.16,5.81
S056,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Rice,2025-10-28,8.2,1.95,0.47,161,16,320,21,1.37,1.67,3.81,0.51,4.17
S057,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Tomato,2025-02-16,6.44,1.07,0.87,284,26,290,27,1.09,1.26,6.0,0.63,1.18
S058,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Cotton,2025-06-11,6.37,2.72,0.6,646,5,416,32,1.18,0.86,3.88,0.35,4.78
S059,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Sugarcane,2025-01-27,6.22,0.54,0.49,616,12,94,25,1.3,0.58,3.58,0.49,3.76
S060,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Wheat,2025-04-26,6.75,0.51,1.03,630,23,340,27,0.69,1.54,11.8,0.27,3.76
S061,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Maize,2025-04-08,7.83,0.92,0.99,544,26,339,13,1.68,0.65,4.99,0.51,5.99
S062,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Tomato,2025-03-18,6.95,1.1,0.75,676,29,313,34,0.78,0.5,8.97,0.5,2.17
S063,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Ragi,2025-01-23,7.51,2.03,1.01,515,14,333,35,0.27,1.0,7.9,0.71,5.37
S064,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Tomato,2025-02-21,5.54,0.57,1.07,278,9,320,30,1.94,0.74,8.93,0.55,5.26
S065,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Ragi,2025-07-14,7.19,2.51,0.69,674,7,396,7,0.62,1.3,4.87,0.26,1.45
S066,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Wheat,2025-11-21,6.7,2.0,1.1,167,25,108,14,0.85,0.89,4.44,0.39,4.41
S067,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Maize,2025-03-29,5.71,2.46,0.82,366,36,378,9,0.62,1.22,6.6,0.57,5.49
S068,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Maize,2025-05-28,5.7,2.66,1.19,426,45,297,27,0.65,1.55,3.99,0.37,3.42
S069,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Ragi,2025-07-15,7.05,2.78,0.5,525,22,84,23,1.76,1.45,11.74,0.74,4.73
S070,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Ragi,2025-04-28,6.09,0.69,0.45,260,45,129,33,1.33,0.26,9.89,0.12,2.82
S071,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Cotton,2025-02-16,6.38,1.28,0.4,672,28,351,21,1.84,1.53,4.57,0.68,3.41
S072,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Wheat,2025-06-23,6.76,0.4,0.95,351,30,365,16,0.36,0.83,4.64,0.19,2.84
S073,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Groundnut,2025-10-27,7.72,2.64,0.31,359,35,92,24,1.79,1.1,11.15,0.25,1.32
S074,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Cotton,2025-12-25,7.25,0.5,0.25,158,24,332,8,0.37,1.62,3.36,0.42,4.35
S075,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Maize,2025-08-03,7.89,1.9,1.03,537,22,96,27,0.87,0.91,11.51,0.7,1.5
S076,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Ragi,2025-10-06,5.66,0.92,1.17,585,10,419,11,1.36,1.16,2.21,0.65,2.22
S077,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Sugarcane,2025-10-17,5.69,2.19,0.41,341,19,248,29,0.47,1.64,2.03,0.7,1.72
S078,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Cotton,2025-10-04,7.66,0.49,1.07,254,5,263,30,1.62,1.14,2.16,0.29,1.63
S079,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Wheat,2025-09-27,7.51,1.44,0.98,645,42,135,19,1.11,1.71,2.43,0.65,5.33
S080,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Tomato,2025-06-04,7.24,0.28,1.2,531,32,135,20,1.48,0.91,10.99,0.33,1.74
S081,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Ragi,2025-05-21,6.53,1.75,0.49,637,43,300,8,1.63,0.38,8.55,0.71,3.76
S082,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Tomato,2025-08-09,7.9,1.28,1.03,528,31,128,15,0.97,1.26,5.74,0.21,5.61
S083,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Wheat,2025-02-16,5.75,0.45,0.94,253,40,110,23,1.92,1.1,8.7,0.39,5.37
S084,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Cotton,2025-01-27,7.12,1.11,0.78,337,14,416,20,0.6,0.37,10.45,0.36,4.81
S085,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Groundnut,2025-04-26,7.78,2.73,1.02,690,6,391,34,1.38,1.31,2.29,0.29,4.81
S086,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Rice,2025-06-29,5.99,0.57,0.86,191,14,404,5,0.37,1.05,5.76,0.42,1.79
S087,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Wheat,2025-06-16,7.89,0.6,0.95,170,10,219,19,1.39,0.98,6.42,0.29,4.77
S088,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Groundnut,2025-06-26,5.8,1.96,0.79,659,24,103,12,0.91,1.16,2.08,0.31,2.06
S089,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Cotton,2025-05-11,6.39,0.22,0.95,299,13,274,22,1.47,1.0,10.33,0.66,1.36
S090,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Rice,2025-08-12,6.74,0.4,0.51,559,41,287,27,1.35,0.66,6.05,0.78,1.86
S091,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Ragi,2025-08-24,5.74,2.4,0.44,530,38,120,17,1.77,1.39,4.22,0.65,1.38
S092,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Sugarcane,2025-09-29,7.95,1.11,0.93,271,20,132,9,0.66,0.48,3.53,0.63,1.38
S093,Karnataka,Belagavi,Belagavi,Udyambag,15.8222,74.5086,Tomato,2025-08-26,7.34,2.49,0.84,450,45,241,9,0.99,0.95,8.31,0.66,3.96
S094,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Wheat,2025-09-17,6.34,1.37,0.26,413,9,410,32,1.96,0.34,7.94,0.37,3.9
S095,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Sugarcane,2025-08-19,6.37,1.44,0.35,183,33,132,30,1.82,0.75,9.14,0.45,1.86
S096,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Tomato,2025-12-29,8.18,1.56,0.81,492,28,224,17,0.94,0.74,7.98,0.65,4.24
S097,Karnataka,Bengaluru Urban,Bengaluru North,Yelahanka,13.1007,77.5963,Wheat,2025-06-18,7.01,1.21,0.45,273,26,121,23,1.39,1.67,5.1,0.56,4.31
S098,Karnataka,Mysuru,Mysuru,Srirampura,12.2958,76.6394,Wheat,2025-11-01,6.34,1.18,0.99,250,38,127,25,1.41,1.01,2.18,0.32,5.76
S099,Karnataka,Tumakuru,Tumakuru,Kyathsandra,13.3702,77.101,Sugarcane,2025-09-06,6.11,0.56,0.28,223,37,356,31,1.53,1.04,8.62,0.71,4.09
S100,Karnataka,Dharwad,Hubballi,Navanagar,15.3647,75.1239,Maize,2025-07-12,5.94,2.36,0.97,289,33,102,18,0.86,1.35,11.7,0.53,4.76
